timestamp,protocol,src_ip,src_port,dst_ip,dst_port,size_bytes,alert
2026-05-22 16:56:44.972,UDP,192.168.0.178,59545,192.168.0.255,15600,77,
2026-05-22 16:56:46.197,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:46.607,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:46.961,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:56:46.970,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:56:46.971,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:56:47.121,UDP,192.168.0.99,50264,239.255.255.250,15600,77,
2026-05-22 16:56:47.427,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:47.938,UDP,192.168.0.178,34773,239.255.255.250,15600,77,
2026-05-22 16:56:49.372,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:50.088,UDP,192.168.0.99,34095,192.168.0.255,15600,77,
2026-05-22 16:56:50.908,UDP,192.168.0.178,57395,192.168.0.255,15600,77,
2026-05-22 16:56:51.216,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:51.626,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:52.446,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:53.059,UDP,192.168.0.99,39211,239.255.255.250,15600,77,
2026-05-22 16:56:53.980,UDP,192.168.0.178,48901,239.255.255.250,15600,77,
2026-05-22 16:56:54.392,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:56.130,UDP,192.168.0.99,33266,192.168.0.255,15600,77,
2026-05-22 16:56:56.131,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:56.643,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:56.949,UDP,192.168.0.178,45667,192.168.0.255,15600,77,
2026-05-22 16:56:56.984,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:56:57.002,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:56:57.003,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:56:57.461,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:57.566,DNS,192.168.0.32,5353,224.0.0.251,5353,524,
2026-05-22 16:56:59.101,UDP,192.168.0.99,40843,239.255.255.250,15600,77,
2026-05-22 16:56:59.164,HTTPS,192.168.0.236,50120,199.165.136.100,443,66,
2026-05-22 16:56:59.228,HTTPS,199.165.136.100,443,192.168.0.236,50120,84,
2026-05-22 16:56:59.408,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:59.924,UDP,192.168.0.178,45201,239.255.255.250,15600,77,
2026-05-22 16:57:01.148,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:01.660,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:02.070,UDP,192.168.0.99,47633,192.168.0.255,15600,77,
2026-05-22 16:57:02.480,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:02.993,UDP,192.168.0.178,45590,192.168.0.255,15600,77,
2026-05-22 16:57:04.425,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:05.040,UDP,192.168.0.99,45818,239.255.255.250,15600,77,
2026-05-22 16:57:05.960,UDP,192.168.0.178,49295,239.255.255.250,15600,77,
2026-05-22 16:57:06.166,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:06.678,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:06.988,UDP,0.0.0.0,68,255.255.255.255,67,342,
2026-05-22 16:57:07.012,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:57:07.021,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:57:07.022,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:57:07.496,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:08.111,UDP,192.168.0.99,46899,192.168.0.255,15600,77,
2026-05-22 16:57:08.932,UDP,192.168.0.178,40998,192.168.0.255,15600,77,
2026-05-22 16:57:09.444,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:11.083,UDP,192.168.0.99,50453,239.255.255.250,15600,77,
2026-05-22 16:57:11.185,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:11.696,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:12.003,UDP,192.168.0.178,32816,239.255.255.250,15600,77,
2026-05-22 16:57:12.516,UDP,192.168.0.169,1900,239.255.255.250,1900,347,
2026-05-22 16:57:12.618,UDP,192.168.0.169,1900,239.255.255.250,1900,347,
2026-05-22 16:57:12.620,UDP,192.168.0.169,1900,239.255.255.250,1900,356,
2026-05-22 16:57:12.720,UDP,192.168.0.169,1900,239.255.255.250,1900,356,
2026-05-22 16:57:12.721,UDP,192.168.0.169,1900,239.255.255.250,1900,350,
2026-05-22 16:57:12.823,UDP,192.168.0.169,1900,239.255.255.250,1900,350,
2026-05-22 16:57:13.756,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:57:13.786,HTTPS,209.177.156.197,443,192.168.0.236,33730,84,
2026-05-22 16:57:14.051,UDP,192.168.0.99,58503,192.168.0.255,15600,77,
2026-05-22 16:57:14.460,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:15.075,UDP,192.168.0.178,56258,192.168.0.255,15600,77,
2026-05-22 16:57:15.384,HTTPS,209.177.156.197,443,192.168.0.236,33730,93,
2026-05-22 16:57:15.385,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:57:16.202,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
